排名,学校名字,英文名字,省份,评分,办学层次
317,江苏理工学院,Jiangsu University of Technology,江苏,Jiangsu University of Technology,Jiangsu University of Technology
317,闽南师范大学,Minnan Normal University,福建,Minnan Normal University,Minnan Normal University
319,淮阴师范学院,Huaiyin Normal University,江苏,Huaiyin Normal University,Huaiyin Normal University
320,福建理工大学,Fujian University of Technology,福建,Fujian University of Technology,Fujian University of Technology
321,河北地质大学,Hebei GEO University,河北,Hebei GEO University,Hebei GEO University
321,淮北师范大学,Huaibei Normal University,安徽,Huaibei Normal University,Huaibei Normal University
323,南宁师范大学,Guangxi Teachers Education University,广西,Guangxi Teachers Education University,Guangxi Teachers Education University
324,贵州师范学院,Guizhou Normal College,贵州,Guizhou Normal College,Guizhou Normal College
325,常州工学院,Changzhou Institute of Technology,江苏,Changzhou Institute of Technology,Changzhou Institute of Technology
326,上海第二工业大学,Shanghai Second Polytechnic University,上海,Shanghai Second Polytechnic University,Shanghai Second Polytechnic University
327,天津城建大学,Tianjin Chengjian University,天津,Tianjin Chengjian University,Tianjin Chengjian University
328,广东技术师范大学,Guangdong Polytechnic Normal University,广东,Guangdong Polytechnic Normal University,Guangdong Polytechnic Normal University
328,上海电机学院,Shanghai Dianji University,上海,Shanghai Dianji University,Shanghai Dianji University
328,徐州工程学院,Xuzhou Institute of Technology,江苏,Xuzhou Institute of Technology,Xuzhou Institute of Technology
331,湖北师范大学,Hubei Normal University,湖北,Hubei Normal University,Hubei Normal University
331,江苏海洋大学,Huaihai Institute of Technology,江苏,Huaihai Institute of Technology,Huaihai Institute of Technology
333,吉林建筑大学,Jilin Jianzhu University,吉林,Jilin Jianzhu University,Jilin Jianzhu University
334,安庆师范大学,Anqing Normal University,安徽,Anqing Normal University,Anqing Normal University
334,长沙学院,Changsha University,湖南,Changsha University,Changsha University
336,南昌工程学院,Nanchang Institute of Technology,江西,Nanchang Institute of Technology,Nanchang Institute of Technology
336,山东交通学院,Shandong Jiaotong University,山东,Shandong Jiaotong University,Shandong Jiaotong University
336,五邑大学,Wuyi University,广东,Wuyi University,Wuyi University
339,河南科技学院,Henan Institute of Science and Technology,河南,Henan Institute of Science and Technology,Henan Institute of Science and Technology
340,江西科技师范大学,Jiangxi Science and Technology Normal University,江西,Jiangxi Science and Technology Normal University,Jiangxi Science and Technology Normal University
341,井冈山大学,Jinggangshan University,江西,Jinggangshan University,Jinggangshan University
342,重庆文理学院,Chongqing University of Arts and Science,重庆,Chongqing University of Arts and Science,Chongqing University of Arts and Science
342,浙江万里学院,Zhejiang Wanli University,浙江,Zhejiang Wanli University,Zhejiang Wanli University
344,湖南第一师范学院,Hunan First Normal University,湖南,Hunan First Normal University,Hunan First Normal University
344,陕西理工大学,Shaanxi University of Technology,陕西,Shaanxi University of Technology,Shaanxi University of Technology
346,洛阳师范学院,Luoyang Normal University,河南,Luoyang Normal University,Luoyang Normal University
347,天津职业技术师范大学,TianJin University of Technology and Education,天津,TianJin University of Technology and Education,TianJin University of Technology and Education
347,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,广东,Zhongkai University of Agriculture and Engineering,Zhongkai University of Agriculture and Engineering
349,衡阳师范学院,Hengyang Normal University,湖南,Hengyang Normal University,Hengyang Normal University
350,临沂大学,Linyi University,山东,Linyi University,Linyi University
350,天津农学院,Tianjin Agricultural University,天津,Tianjin Agricultural University,Tianjin Agricultural University
352,南京晓庄学院,Nanjing XiaoZhuang University,江苏,Nanjing XiaoZhuang University,Nanjing XiaoZhuang University
353,黄冈师范学院,Huanggang Normal University,湖北,Huanggang Normal University,Huanggang Normal University
354,四川轻化工大学,Sichuan University of Science and Engineering,四川,Sichuan University of Science and Engineering,Sichuan University of Science and Engineering
355,长春大学,Changchun University,吉林,Changchun University,Changchun University
356,长春工程学院,Changchun Institute of Technology,吉林,Changchun Institute of Technology,Changchun Institute of Technology
356,无锡学院,"Nanjing University of Information Science and Technology, Binjiang College",江苏,"Nanjing University of Information Science and Technology, Binjiang College","Nanjing University of Information Science and Technology, Binjiang College"
358,安徽科技学院,Anhui Science and Technology University,安徽,Anhui Science and Technology University,Anhui Science and Technology University
359,金陵科技学院,Jinling Institute of Technology,江苏,Jinling Institute of Technology,Jinling Institute of Technology
360,岭南师范学院,LingNan Normal University,广东,LingNan Normal University,LingNan Normal University
361,惠州学院,Huizhou University,广东,Huizhou University,Huizhou University
362,西藏农牧学院,Tibet Agriculture and Animal Husbandry University,西藏,Tibet Agriculture and Animal Husbandry University,Tibet Agriculture and Animal Husbandry University
363,衢州学院,Quzhou University,浙江,Quzhou University,Quzhou University
364,铜仁学院,Tongren University,贵州,Tongren University,Tongren University
365,湖北第二师范学院,Hubei University of Education,湖北,Hubei University of Education,Hubei University of Education
365,齐齐哈尔大学,Qiqihar University,黑龙江,Qiqihar University,Qiqihar University
367,合肥师范学院,Hefei Normal University,安徽,Hefei Normal University,Hefei Normal University
368,绵阳师范学院,Mianyang Teachers' College,四川,Mianyang Teachers' College,Mianyang Teachers' College
369,广西科技大学,Guangxi University of Science and Technology,广西,Guangxi University of Science and Technology,Guangxi University of Science and Technology
370,攀枝花学院,Panzhihua University,四川,Panzhihua University,Panzhihua University
371,榆林学院,Yulin University,陕西,Yulin University,Yulin University
372,内江师范学院,Neijiang Normal University,四川,Neijiang Normal University,Neijiang Normal University
373,湖北汽车工业学院,Hubei University of Automotive Technology,湖北,Hubei University of Automotive Technology,Hubei University of Automotive Technology
373,山东航空学院,Shandong University of Aeronautics,山东,Shandong University of Aeronautics,Shandong University of Aeronautics
375,泰山学院,Taishan University,山东,Taishan University,Taishan University
376,湖北文理学院,Hubei University of Arts and Science,湖北,Hubei University of Arts and Science,Hubei University of Arts and Science
376,三明学院,Sanming University,福建,Sanming University,Sanming University
378,重庆三峡学院,Chongqing Three Gorges University,重庆,Chongqing Three Gorges University,Chongqing Three Gorges University
379,丽水学院,Lishui University,浙江,Lishui University,Lishui University
380,潍坊学院,Weifang University,山东,Weifang University,Weifang University
381,泉州师范学院,Quanzhou Normal University,福建,Quanzhou Normal University,Quanzhou Normal University
382,黑龙江科技大学,Heilongjiang University of Science and Technology,黑龙江,Heilongjiang University of Science and Technology,Heilongjiang University of Science and Technology
383,防灾科技学院,Institute of Disaster Prevention,河北,Institute of Disaster Prevention,Institute of Disaster Prevention
384,西安文理学院,Xi'an University,陕西,Xi'an University,Xi'an University
385,湖北科技学院,Hubei University of Science and Technology,湖北,Hubei University of Science and Technology,Hubei University of Science and Technology
386,宝鸡文理学院,Baoji University of Arts and Sciences,陕西,Baoji University of Arts and Sciences,Baoji University of Arts and Sciences
386,龙岩学院,Longyan University,福建,Longyan University,Longyan University
386,南阳师范学院,Nanyang Normal University,河南,Nanyang Normal University,Nanyang Normal University
389,湖南文理学院,Hunan University of Arts and Science,湖南,Hunan University of Arts and Science,Hunan University of Arts and Science
389,通化师范学院,Tonghua Normal University,吉林,Tonghua Normal University,Tonghua Normal University
389,湘南学院,Xiangnan University,湖南,Xiangnan University,Xiangnan University
392,广东石油化工学院,Guangdong University of Petrochemical Technology,广东,Guangdong University of Petrochemical Technology,Guangdong University of Petrochemical Technology
393,北华航天工业学院,North China Institute of Aerospace Engineering,河北,North China Institute of Aerospace Engineering,North China Institute of Aerospace Engineering
393,怀化学院,Huaihua University,湖南,Huaihua University,Huaihua University
393,佳木斯大学,Jiamusi University,黑龙江,Jiamusi University,Jiamusi University
396,河北科技师范学院,Hebei Normal University of Science and Technology,河北,Hebei Normal University of Science and Technology,Hebei Normal University of Science and Technology
396,渭南师范学院,Weinan Normal University,陕西,Weinan Normal University,Weinan Normal University
398,阜阳师范大学,Fuyang Normal University,安徽,Fuyang Normal University,Fuyang Normal University
399,德州学院,Dezhou University,山东,Dezhou University,Dezhou University
399,玉林师范学院,Yulin Normal University,广西,Yulin Normal University,Yulin Normal University
401,南阳理工学院,Nanyang Institute of Technology,河南,Nanyang Institute of Technology,Nanyang Institute of Technology
402,滁州学院,Chuzhou University,安徽,Chuzhou University,Chuzhou University
402,江苏第二师范学院,Jiangsu Second Normal University,江苏,Jiangsu Second Normal University,Jiangsu Second Normal University
402,曲靖师范学院,Qujing Normal University,云南,Qujing Normal University,Qujing Normal University
405,莆田学院,Putian University,福建,Putian University,Putian University
406,贵阳学院,Guiyang University,贵州,Guiyang University,Guiyang University
406,枣庄学院,Zaozhuang University,山东,Zaozhuang University,Zaozhuang University
408,湖北理工学院,Hubei Polytechnic University,湖北,Hubei Polytechnic University,Hubei Polytechnic University
409,湖南城市学院,Hunan City University,湖南,Hunan City University,Hunan City University
409,湖南工程学院,Hunan Institute of Engineering,湖南,Hunan Institute of Engineering,Hunan Institute of Engineering
411,湖南科技学院,Hunan University of Science and Engineering,湖南,Hunan University of Science and Engineering,Hunan University of Science and Engineering
412,广东第二师范学院,Guangdong University of Education,广东,Guangdong University of Education,Guangdong University of Education
413,太原师范学院,Taiyuan Normal University,山西,Taiyuan Normal University,Taiyuan Normal University
413,周口师范学院,Zhoukou Normal University,河南,Zhoukou Normal University,Zhoukou Normal University
415,北部湾大学,Beibu Gulf University,广西,Beibu Gulf University,Beibu Gulf University
415,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,浙江,Zhejiang University of Water Resources and Electric Power,Zhejiang University of Water Resources and Electric Power
417,肇庆学院,Zhaoqing University,广东,Zhaoqing University,Zhaoqing University
418,韩山师范学院,Hanshan Normal University,广东,Hanshan Normal University,Hanshan Normal University
419,宿迁学院,Suqian College,江苏,Suqian College,Suqian College
420,河南城建学院,Henan University of Urban Construction,河南,Henan University of Urban Construction,Henan University of Urban Construction
421,中国民用航空飞行学院,Civil Aviation Flight University of China,四川,Civil Aviation Flight University of China,Civil Aviation Flight University of China
422,咸阳师范学院,Xianyang Normal University,陕西,Xianyang Normal University,Xianyang Normal University
423,黑龙江工程学院,Heilongjiang Institute of Technology,黑龙江,Heilongjiang Institute of Technology,Heilongjiang Institute of Technology
424,安阳师范学院,Anyang Normal University,河南,Anyang Normal University,Anyang Normal University
424,唐山师范学院,Tangshan Normal University,河北,Tangshan Normal University,Tangshan Normal University
426,皖西学院,West AnHui University,安徽,West AnHui University,West AnHui University
427,齐鲁师范学院,Qilu Normal University,山东,Qilu Normal University,Qilu Normal University
428,成都师范学院,Chengdu Normal University,四川,Chengdu Normal University,Chengdu Normal University
428,河南工程学院,Henan University of Engineering,河南,Henan University of Engineering,Henan University of Engineering
430,哈尔滨学院,Harbin University,黑龙江,Harbin University,Harbin University
430,上饶师范学院,Shangrao Normal University,江西,Shangrao Normal University,Shangrao Normal University
432,贵州理工学院,Guizhou Institute of Technology,贵州,Guizhou Institute of Technology,Guizhou Institute of Technology
432,牡丹江师范学院,Mudanjiang Normal University,黑龙江,Mudanjiang Normal University,Mudanjiang Normal University
434,昆明学院,Kunming University,云南,Kunming University,Kunming University
435,宜宾学院,Yibin University,四川,Yibin University,Yibin University
436,重庆第二师范学院,Chongqing University of Education,重庆,Chongqing University of Education,Chongqing University of Education
437,商丘师范学院,Shangqiu Normal University,河南,Shangqiu Normal University,Shangqiu Normal University
438,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",湖南,"Hunan University of Humanities, Science and Technology","Hunan University of Humanities, Science and Technology"
439,黄淮学院,Huanghuai University,河南,Huanghuai University,Huanghuai University
440,长治学院,Changzhi University,山西,Changzhi University,Changzhi University
441,湖北工程学院,Hubei Engineering University,湖北,Hubei Engineering University,Hubei Engineering University
441,平顶山学院,Pingdingshan University,河南,Pingdingshan University,Pingdingshan University
443,乐山师范学院,Leshan Normal University,四川,Leshan Normal University,Leshan Normal University
443,温州理工学院,Wenzhou University of Technology,浙江,Wenzhou University of Technology,Wenzhou University of Technology
443,西昌学院,Xichang College,四川,Xichang College,Xichang College
443,遵义师范学院,Zunyi Normal University,贵州,Zunyi Normal University,Zunyi Normal University
447,信阳农林学院,Xinyang Agriculture and Forestry University,河南,Xinyang Agriculture and Forestry University,Xinyang Agriculture and Forestry University
447,宜春学院,Yichun University,江西,Yichun University,Yichun University
449,天水师范学院,Tianshui Normal University,甘肃,Tianshui Normal University,Tianshui Normal University
449,营口理工学院,YingKou Institute of Technology,辽宁,YingKou Institute of Technology,YingKou Institute of Technology
451,商洛学院,Shangluo University,陕西,Shangluo University,Shangluo University
452,兰州石化职业技术大学,Zhixing College of Northwest Normal University,甘肃,Zhixing College of Northwest Normal University,Zhixing College of Northwest Normal University
453,宁德师范学院,Ningde Normal University,福建,Ningde Normal University,Ningde Normal University
454,邵阳学院,Shaoyang University,湖南,Shaoyang University,Shaoyang University
455,海南热带海洋学院,Hainan Tropical Ocean University,海南,Hainan Tropical Ocean University,Hainan Tropical Ocean University
456,洛阳理工学院,Luoyang Institute of Science and Technology,河南,Luoyang Institute of Science and Technology,Luoyang Institute of Science and Technology
456,玉溪师范学院,Yuxi Normal University,云南,Yuxi Normal University,Yuxi Normal University
458,成都工业学院,Chengdu Technological University,四川,Chengdu Technological University,Chengdu Technological University
459,安阳工学院,Anyang Institute of Technology,河南,Anyang Institute of Technology,Anyang Institute of Technology
460,四川旅游学院,Sichuan Tourism University,四川,Sichuan Tourism University,Sichuan Tourism University
461,九江学院,Jiujiang University,江西,Jiujiang University,Jiujiang University
462,鞍山师范学院,Anshan Normal University Liaoning China,辽宁,Anshan Normal University Liaoning China,Anshan Normal University Liaoning China
463,山东女子学院,Shandong Women's University,山东,Shandong Women's University,Shandong Women's University
464,内蒙古科技大学包头师范学院,Baotou Teachers' College,内蒙古,Baotou Teachers' College,Baotou Teachers' College
465,赤峰学院,Chifeng University,内蒙古,Chifeng University,Chifeng University
465,淮南师范学院,Huainan Normal University,安徽,Huainan Normal University,Huainan Normal University
465,湖南工学院,Hunan Institute of Technology,湖南,Hunan Institute of Technology,Hunan Institute of Technology
468,贺州学院,Hezhou University,广西,Hezhou University,Hezhou University
468,吉林化工学院,Jilin Institute of Chemical Technology,吉林,Jilin Institute of Chemical Technology,Jilin Institute of Chemical Technology
470,河西学院,HeXi University,甘肃,HeXi University,HeXi University
471,南昌师范学院,Nanchang Normal University,江西,Nanchang Normal University,Nanchang Normal University
472,许昌学院,Xuchang University,河南,Xuchang University,Xuchang University
473,吉林农业科技学院,Jilin Agricultural Science and Technology University,吉林,Jilin Agricultural Science and Technology University,Jilin Agricultural Science and Technology University
474,河北建筑工程学院,Hebei University of Architecture,河北,Hebei University of Architecture,Hebei University of Architecture
475,河南牧业经济学院,Henan University of Animal Husbandry and Economy,河南,Henan University of Animal Husbandry and Economy,Henan University of Animal Husbandry and Economy
476,宁夏师范大学,Ningxia Normal University,宁夏,Ningxia Normal University,Ningxia Normal University
477,陇东学院,Long Dong University,甘肃,Long Dong University,Long Dong University
477,武夷学院,Wuyi University,福建,Wuyi University,Wuyi University
479,运城学院,Yuncheng University,山西,Yuncheng University,Yuncheng University
480,安康学院,Ankang University,陕西,Ankang University,Ankang University
481,宿州学院,Suzhou University,安徽,Suzhou University,Suzhou University
482,山东管理学院,Shandong Management University,山东,Shandong Management University,Shandong Management University
483,黄山学院,Huangshan University,安徽,Huangshan University,Huangshan University
484,泰州学院,Taizhou University,江苏,Taizhou University,Taizhou University
485,巢湖学院,Chaohu University,安徽,Chaohu University,Chaohu University
485,喀什大学,Kashi University,新疆,Kashi University,Kashi University
485,陕西学前师范学院,Shaanxi Xueqian Normal University,陕西,Shaanxi Xueqian Normal University,Shaanxi Xueqian Normal University
488,辽东学院,Eastern Liaoning University,辽宁,Eastern Liaoning University,Eastern Liaoning University
488,伊犁师范大学,Yili Normal University,新疆,Yili Normal University,Yili Normal University
490,山东农业工程学院,Shandong Agriculture and Engineering University,山东,Shandong Agriculture and Engineering University,Shandong Agriculture and Engineering University
491,辽宁科技学院,Liaoning Institute of Science and Technology,辽宁,Liaoning Institute of Science and Technology,Liaoning Institute of Science and Technology
492,琼台师范学院,Qiongtai Normal University,海南,Qiongtai Normal University,Qiongtai Normal University
493,红河学院,Honghe University,云南,Honghe University,Honghe University
494,湖州学院,Huzhou University Qiuzhen College,浙江,Huzhou University Qiuzhen College,Huzhou University Qiuzhen College
495,山东青年政治学院,Shandong Youth University of Political Science,山东,Shandong Youth University of Political Science,Shandong Youth University of Political Science
496,六盘水师范学院,Liupanshui Normal University,贵州,Liupanshui Normal University,Liupanshui Normal University
497,梧州学院,Wuzhou University,广西,Wuzhou University,Wuzhou University
498,呼伦贝尔学院,Hulunbuir University,内蒙古,Hulunbuir University,Hulunbuir University
499,河北民族师范学院,Hebei Normal University for Nationalities,河北,Hebei Normal University for Nationalities,Hebei Normal University for Nationalities
499,兰州城市学院,Lanzhou City University,甘肃,Lanzhou City University,Lanzhou City University
501,凯里学院,Kaili University,贵州,Kaili University,Kaili University
501,兰州工业学院,Lanzhou Institute of Technology,甘肃,Lanzhou Institute of Technology,Lanzhou Institute of Technology
501,郑州工程技术学院,Zhengzhou Institute of Technology,河南,Zhengzhou Institute of Technology,Zhengzhou Institute of Technology
504,福建技术师范学院,Fujian Polytechnic Normal University,福建,Fujian Polytechnic Normal University,Fujian Polytechnic Normal University
505,阿坝师范学院,Aba Teachers University,四川,Aba Teachers University,Aba Teachers University
505,贵阳康养职业大学,Qiushi College of Guizhou Normal University Institute,贵州,Qiushi College of Guizhou Normal University Institute,Qiushi College of Guizhou Normal University Institute
507,安顺学院,Anshun University,贵州,Anshun University,Anshun University
507,大庆师范学院,Daqing Normal University,黑龙江,Daqing Normal University,Daqing Normal University
509,萍乡学院,Pingxiang University,江西,Pingxiang University,Pingxiang University
510,南京特殊教育师范学院,Nanjing Normal University of Special Education,江苏,Nanjing Normal University of Special Education,Nanjing Normal University of Special Education
511,郑州师范学院,Zhengzhou Normal University,河南,Zhengzhou Normal University,Zhengzhou Normal University
512,长沙师范学院,Changsha Normal University,湖南,Changsha Normal University,Changsha Normal University
512,赣南科技学院,"College of Applied Science, Jiangxi University of Science and Technology",江西,"College of Applied Science, Jiangxi University of Science and Technology","College of Applied Science, Jiangxi University of Science and Technology"
514,桂林航天工业学院,Guilin University of Aerospace Technology,广西,Guilin University of Aerospace Technology,Guilin University of Aerospace Technology
514,晋中学院,Jinzhong University,山西,Jinzhong University,Jinzhong University
516,菏泽学院,Heze University,山东,Heze University,Heze University
517,邯郸学院,Handan College,河北,Handan College,Handan College
517,河北环境工程学院,Hebei University of Environmental Engineering,河北,Hebei University of Environmental Engineering,Hebei University of Environmental Engineering
519,楚雄师范学院,Chuxiong Normal University,云南,Chuxiong Normal University,Chuxiong Normal University
520,白城师范学院,Baicheng Normal University,吉林,Baicheng Normal University,Baicheng Normal University
520,华北科技学院,North China Institute of Science and Technology,河北,North China Institute of Science and Technology,North China Institute of Science and Technology
522,池州学院,Chizhou University,安徽,Chizhou University,Chizhou University
523,太原工业学院,Taiyuan Institute of Technology,山西,Taiyuan Institute of Technology,Taiyuan Institute of Technology
524,济宁学院,Jining University,山东,Jining University,Jining University
525,保定学院,Baoding University,河北,Baoding University,Baoding University
526,景德镇学院,Jingdezhen University,江西,Jingdezhen University,Jingdezhen University
526,忻州师范学院,Xinzhou Teachers University,山西,Xinzhou Teachers University,Xinzhou Teachers University
528,蚌埠学院,Bengbu University,安徽,Bengbu University,Bengbu University
529,广州航海学院,Guangzhou Maritime University,广东,Guangzhou Maritime University,Guangzhou Maritime University
529,集宁师范学院,Jining Normal University,内蒙古,Jining Normal University,Jining Normal University
531,山西大同大学,Shanxi Datong University,山西,Shanxi Datong University,Shanxi Datong University
532,兴义民族师范学院,Xingyi Normal University for Nationalities,贵州,Xingyi Normal University for Nationalities,Xingyi Normal University for Nationalities
533,四川文理学院,Sichuan University of Arts and Science,四川,Sichuan University of Arts and Science,Sichuan University of Arts and Science
534,鄂尔多斯应用技术学院,Ordos Institute of Technology,内蒙古,Ordos Institute of Technology,Ordos Institute of Technology
535,广西民族师范学院,Guangxi Normal University for Nationalities,广西,Guangxi Normal University for Nationalities,Guangxi Normal University for Nationalities
536,天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,天津,Tianjin Sino-German University of Applied Sciences,Tianjin Sino-German University of Applied Sciences
537,山西电子科技学院,Shanxi University of Electronic Science and Technology,山西,Shanxi University of Electronic Science and Technology,Shanxi University of Electronic Science and Technology
538,百色学院,Baise University,广西,Baise University,Baise University
538,绥化学院,Suihua University,黑龙江,Suihua University,Suihua University
540,河南工学院,Henan Institute of Technology,河南,Henan Institute of Technology,Henan Institute of Technology
540,苏州城市学院,Wenzheng College of Soochow University,江苏,Wenzheng College of Soochow University,Wenzheng College of Soochow University
542,新余学院,Xinyu University,江西,Xinyu University,Xinyu University
543,亳州学院,Bozhou University,安徽,Bozhou University,Bozhou University
544,吉林工程技术师范学院,Jilin Engineering Normal University,吉林,Jilin Engineering Normal University,Jilin Engineering Normal University
545,河套学院,Hetao University,内蒙古,Hetao University,Hetao University
546,黑河学院,Heihe University,黑龙江,Heihe University,Heihe University
547,吕梁学院,Luliang University,山西,Luliang University,Luliang University
548,荆楚理工学院,Jingchu University of Technology,湖北,Jingchu University of Technology,Jingchu University of Technology
549,贵州工程应用技术学院,Guizhou University of Engineering Science,贵州,Guizhou University of Engineering Science,Guizhou University of Engineering Science
550,山西能源学院,Shanxi Institute of Energy,山西,Shanxi Institute of Energy,Shanxi Institute of Energy
551,南京工业职业技术大学,Nanjing Vocational University of Industry Technology,江苏,Nanjing Vocational University of Industry Technology,Nanjing Vocational University of Industry Technology
552,石家庄学院,Shijiazhuang University,河北,Shijiazhuang University,Shijiazhuang University
553,兰州文理学院,Lanzhou University of Arts and Science,甘肃,Lanzhou University of Arts and Science,Lanzhou University of Arts and Science
553,新疆工程学院,Xinjiang Institute of Engineering,新疆,Xinjiang Institute of Engineering,Xinjiang Institute of Engineering
555,广西科技师范学院,Guangxi Science and Technology Normal University,广西,Guangxi Science and Technology Normal University,Guangxi Science and Technology Normal University
556,张家口学院,Zhangjiakou University,河北,Zhangjiakou University,Zhangjiakou University
557,衡水学院,Hengshui University,河北,Hengshui University,Hengshui University
558,黔南民族师范学院,Qiannan Normal College for Nationalities,贵州,Qiannan Normal College for Nationalities,Qiannan Normal College for Nationalities
558,四川民族学院,Sichuan University for Nationalities,四川,Sichuan University for Nationalities,Sichuan University for Nationalities
560,保山学院,Baoshan University,云南,Baoshan University,Baoshan University
561,赣东学院,"East China Institute of Technology, Yangtze River College",江西,"East China Institute of Technology, Yangtze River College","East China Institute of Technology, Yangtze River College"
562,山西工程技术学院,Shanxi Institute of Technology,山西,Shanxi Institute of Technology,Shanxi Institute of Technology
563,河池学院,Hechi University,广西,Hechi University,Hechi University
564,普洱学院,Puer University,云南,Puer University,Puer University
565,韶关学院,Shaoguan University,广东,Shaoguan University,Shaoguan University
566,嘉应学院,Jiaying University,广东,Jiaying University,Jiaying University
567,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,河北,Hebei University of Water Resources and Electric Engineering,Hebei University of Water Resources and Electric Engineering
568,豫章师范学院,Yuzhang Normal University,江西,Yuzhang Normal University,Yuzhang Normal University
569,西安航空学院,Xi'an Aeronautical University,陕西,Xi'an Aeronautical University,Xi'an Aeronautical University
570,汉江师范学院,Hanjiang Normal University,湖北,Hanjiang Normal University,Hanjiang Normal University
570,新乡学院,Xinxiang University,河南,Xinxiang University,Xinxiang University
572,滇西科技师范学院,West Yunnan University,云南,West Yunnan University,West Yunnan University
573,黑龙江工业学院,Heilongjiang University of Technology,黑龙江,Heilongjiang University of Technology,Heilongjiang University of Technology
574,新疆理工学院,Xinjiang Institute of Technology,新疆,Xinjiang Institute of Technology,Xinjiang Institute of Technology
575,昌吉学院,Changji University,新疆,Changji University,Changji University
576,太原学院,Taiyuan University,山西,Taiyuan University,Taiyuan University
577,甘肃民族师范学院,Gansu Normal University for Nationalities,甘肃,Gansu Normal University for Nationalities,Gansu Normal University for Nationalities
578,山东石油化工学院,"Shengli College, China University of Petroleum",山东,"Shengli College, China University of Petroleum","Shengli College, China University of Petroleum"
579,唐山学院,Tangshan College,河北,Tangshan College,Tangshan College
580,河北工业职业技术大学,Polytechnic College of Hebei University of Science and Technology,河北,Polytechnic College of Hebei University of Science and Technology,Polytechnic College of Hebei University of Science and Technology
581,邢台学院,Xingtai University,河北,Xingtai University,Xingtai University
582,昭通学院,Zhaotong University,云南,Zhaotong University,Zhaotong University
583,沧州师范学院,Cangzhou Normal University,河北,Cangzhou Normal University,Cangzhou Normal University
584,广西职业师范学院,Guangxi Vocational Normal University,广西,Guangxi Vocational Normal University,Guangxi Vocational Normal University
585,廊坊师范学院,Langfang Teachers University,河北,Langfang Teachers University,Langfang Teachers University
586,文山学院,Wenshan University,云南,Wenshan University,Wenshan University
587,山西工程科技职业大学,Shanxi Vocational University of Engineering Science and Technology,山西,Shanxi Vocational University of Engineering Science and Technology,Shanxi Vocational University of Engineering Science and Technology
588,沈阳工程学院,Shenyang Institute of Engineering,辽宁,Shenyang Institute of Engineering,Shenyang Institute of Engineering
589,滇西应用技术大学,West Yunnan University of Applied Sciences,云南,West Yunnan University of Applied Sciences,West Yunnan University of Applied Sciences
589,河北科技工程职业技术大学,North China Electric Power University Science and Technology College,河北,North China Electric Power University Science and Technology College,North China Electric Power University Science and Technology College
591,河北石油职业技术大学,Hebei University of Technology City College,河北,Hebei University of Technology City College,Hebei University of Technology City College
592,新疆政法学院,Xinjiang University of Political Science and Law,新疆,Xinjiang University of Political Science and Law,Xinjiang University of Political Science and Law
593,广西农业职业技术大学,Guangxi Vocational University of Agriculture,广西,Guangxi Vocational University of Agriculture,Guangxi Vocational University of Agriculture
594,山西科技学院,Shanxi Institute of Science and Technology,山西,Shanxi Institute of Science and Technology,Shanxi Institute of Science and Technology
